! ("！")
" ("“”")
yaba ("卫士")
yabd ("𡤾")
yabh ("阿城")
yabj ("𡥱")
yabl ("阿坝")
yabz ("孲")
yach ("司长")
yack ("𡥤")
yad ("𪫁")
yadb ("改天换地")
yadp ("㝂")
yadq ("隔热")
yads ("强烈抗议")
yae ("𨸦")
yaed ("𨸗")
yael ("司南" "𪧌" "𡥰")
yaex ("𪧁")
yaf ("𣏍")
yafd ("𡦕")
yafg ("孺")
yafq ("司机")
yafz ("𡥑")
yagg ("𡦘")
yagj ("𨹙")
yags ("弥天大谎")
yagz ("𡥢")
yahi ("陚")
yahm ("𪧂")
yahs ("卫戍")
yai ("䦺")
yaig ("民政厅")
yaii ("阷" "𢌛")
yail ("𢌫" "𡥶")
yais ("民政部" "𡦉")
yaix ("民政局")
yaj ("阿" "司" "𡥄")
yaja ("司号")
yajc ("卫国")
yajh ("阿呀")
yajk ("𨺤")
yajl ("隔" "覗" "𫖅")
yajr ("陌路" "㝃" "𣱇")
yajs ("䛐")
yaju ("𨻯" "𨹜" "𡦮")
yajy ("孠")
yajz ("也可以" "娿")
yak ("𡥌")
yaka ("隔日")
yakb ("阿里" "𡦜" "𡥿")
yakd ("𡥁")
yakk ("阿昌")
yakl ("阿曼" "𨻛")
yakm ("卫星")
yakn ("𡦓")
yako ("孙")
yakq ("𡦀")
yakr ("卫冕")
yakw ("逊" "𢙏")
yakz ("𨽅")
yal ("陋")
yalj ("𡥾")
yalk ("孟" "𥁂")
yall ("隔山")
yaln ("𪧏")
yalo ("孭" "陃")
yaly ("勐")
yalz ("孾" "𪧋")
yamc ("卫生" "陌生")
yamh ("𡥊")
yamk ("𡥛")
yaml ("𡥠")
yamo ("孜")
yamq ("𡦇")
yamw ("㤵")
yamy ("𡦎")
yamz ("孫")
yan ("陌")
yanb ("𡥴")
yani ("𨾆")
yank ("陌" "𪧅")
yanr ("𪧇")
yao ("彌" "𡥀")
yaob ("司徒")
yaod ("𡤿")
yaon ("㜾")
yaoo ("阿爸" "隬" "𡦖" "𡥡")
yaou ("改恶从善")
yaow ("司令")
yaoy ("𡦰")
yaoz ("陋")
yaph ("𦣮")
yapi ("𧏄")
yapl ("𡦫")
yapo ("卫兵")
yapr ("𪂲" "𪂮")
yaps ("孤")
yaqe ("隔膜")
yaqq ("𨼘")
yaqu ("乙型脑炎")
yarl ("𡥼")
yarr ("𡦒" "𡥵" "𡥥")
yars ("阿訇")
yaru ("𡦗")
yary ("孢" "司务" "阿瓦鲁阿")
yarz ("𩾗" "𡦅")
yas ("𡥪")
yasc ("𡦍")
yasn ("隔夜")
yaso ("隔离" "𪧄" "𪧃")
yast ("𡥧")
yasx ("𫖖")
yasz ("队列训练")
yate ("𡦶")
yats ("隔阂")
yau ("𪫂")
yaua ("𨸶")
yauj ("㝆")
yaul ("孻")
yaus ("子粒")
yauy ("子弟" "𡥩")
yav ("卫")
yavb ("司法" "𨹢")
yavi ("加一点")
yavv ("卫" "刁" "孒" "孑" "子洲" "𡤼")
yawb ("孮")
yawj ("子宫")
yawl ("卫视")
yaws ("子房")
yawx ("𠭈")
yawz ("孞")
yaxa ("司马")
yaxi ("㜿" "𨺇")
yaxj ("隔壁")
yaxn ("刁难")
yaxu ("𡦞")
yaxw ("𨼆")
yaxz ("𨹷")
yaya ("孖")
yayj ("𡥙")
yayk ("子孙" "孴" "𡦏" "𡥨")
yayp ("𦩧")
yays ("𤬴")
yayt ("阿飞")
yayu ("子弹")
yayy ("孨" "𡦷" "𡦪" "𡥦")
yayz ("𨼼")
yaz ("孔" "𨸑")
yazb ("𨻋" "𡒐" "𡏸")
yazg ("阿姨")
yazh ("𦥊")
yazj ("孡")
yazk ("𡦌")
yazl ("𡵾")
yazm ("子女" "𡥃")
yazo ("孩")
yazr ("隔绝")
yazu ("隔断" "𨻳")
yazw ("遜" "愻" "𥤾")
yazy ("𣫮" "𡥓")
yazz ("𨸞")
yb ("那")
ybaf ("那末")
ybag ("那天")
ybay ("陆万")
ybbg ("隢")
ybbk ("加工工业")
ybbq ("𨼢")
ybbr ("𨽐")
ybbv ("陆地")
ybc ("疆")
ybci ("陆丰")
ybdf ("己二酸")
ybdo ("陆拾")
ybdq ("己二胺")
ybek ("陵墓")
ybel ("陡直")
ybes ("阿坝藏族羌族自治州")
ybfj ("陕西")
ybfu ("那样")
ybgn ("加工硬化")
ybgo ("𩑫")
ybha ("阮咸")
ybi ("𨸖")
ybig ("加工厂")
ybik ("加工业")
ybir ("那些")
ybjb ("陵园")
ybjd ("隯")
ybjk ("𫗃")
ybjt ("随地吐痰")
ybk ("际")
ybkb ("那里")
ybkd ("那时")
ybkk ("那曲")
ybkv ("那是" "陵水")
yblk ("陡峭")
ybll ("𨽤" "𨽍")
yblz ("陵县" "陕县")
ybm ("陼")
ybmj ("那种")
ybmz ("那么")
ybn ("阱")
ybna ("陆佰")
ybnd ("阱" "陵川" "𠁲")
ybnm ("陆仟")
ybno ("𨹮")
ybny ("陆亿")
ybo ("陡")
ybob ("陸")
ybor ("陵")
ybov ("那个")
ybr ("阮")
ybrb ("𡏹")
ybrd ("那儿" "阮" "𨸪")
ybrg ("陡然")
ybrr ("𪅋")
ybrs ("防老剂")
ybsk ("建功立业")
ybtr ("那次" "陕北")
ybu ("陕")
ybuj ("𨼩")
ybuo ("陕")
ybuz ("𨺞")
ybva ("陆河")
ybwb ("陆运")
ybwg ("𫒌")
ybwh ("陆军")
ybwy ("那边")
ybxj ("陡壁" "𫖀")
yby ("那")
ybyk ("𪾃")
ybym ("随声附和")
ybyr ("𫜆")
ybyy ("陈规陋习" "𦐃")
ybz ("陆" "𨻉")
ybze ("陆续")
ybzi ("陆" "𨸸")
ybzm ("𨸧")
ybzs ("阹")
ybzy ("加工能力")
yc ("张")
yccc ("𨽦")
ycds ("张掖" "陦")
ycdy ("张扬")
yce ("弭" "𫕽")
ycfs ("张榜")
ycgd ("张大")
ych ("张")
ycjc ("𨼳")
yck ("彊")
ycli ("张贴")
ycmb ("𨼳")
ycnf ("阳春白雪")
ycpt ("加聚反应")
ycqc ("张狂")
ycrs ("𨹧")
ycsq ("张望")
yctr ("张北")
ycu ("䧞")
ycub ("隔三差五")
ycum ("刀耕火种")
ycx ("陬")
ycxg ("𨽁")
ycxs ("陬")
ycyi ("加班加点")
ycym ("张力" "隞")
ycyw ("阳奉阴违")
yczm ("𨺿")
yd ("刀")
yda ("乙" "")
ydaa ("乀" "乁" "")
ydab ("丮" "𡈾")
ydac ("𩡵")
ydad ("𡬞")
ydae ("乙型" "卂" "𢆙")
ydaf ("𧟢")
ydag ("𩑓" "𧰦")
ydai ("虱" "蝨" "𧒢" "𧋜" "𧈲")
ydaj ("𪜓" "𠮸" "𠮞")
ydak ("氹" "乪" "𪜗" "𣄽" "𠃮" "𠃥" "𠃝")
ydal ("𧠍" "𡶳")
ydam ("𢩦" "𢞵" "𢖮" "𠃣")
ydan ("飛" "飝" "𩙱" "𨾑" "𨾐" "𠃺")
ydao ("𩙺")
ydar ("鳵" "𫜐" "𫛴" "𪜑")
ydas ("𨐾")
ydat ("飞" "𠃧")
ydau ("𪸱" "𥸦")
ydaw ("迅" "𩙻" "𢝵")
yday ("𠃐")
ydaz ("厾" "𠫕" "𠤬" "𠃨" "𠃡")
ydb ("𡔛")
ydbu ("𡆊")
ydbw ("强势互补")
yddk ("𡀪")
yddp ("导播")
yddq ("导热")
ydef ("乙苯")
ydey ("阿拉斯加")
ydfe ("乙醛" "防护林带")
ydff ("办事机构")
ydfj ("阿拉木图")
ydfm ("乙酰")
ydfo ("刀枪")
ydfs ("乙醇")
ydfu ("隔热材料")
ydfw ("乙醚")
ydfz ("乙酸")
ydhf ("阻抗匹配")
ydhm ("导致")
ydhq ("导轨")
ydig ("𠟹")
ydii ("歰" "𧌣")
ydj ("召")
ydja ("刀口" "𠯉")
ydji ("𠧙")
ydjj ("办事员")
ydjk ("刟")
ydjl ("䙼" "𩫉" "𥁏")
ydjm ("𣬸")
ydjr ("办事处" "欩" "䳂")
ydjs ("𨐓")
ydjw ("迢" "飞扬跋扈")
ydjy ("邵" "劭" "巶" "卲" "㐒")
ydka ("导师" "𠝗")
ydkd ("𠚥")
ydkk ("𤃻")
ydkl ("𡙼")
ydkx ("阻挡层")
ydkz ("导电")
ydld ("𤰄" "𠱛" "𠜦")
ydlk ("𥁀")
ydll ("𡴻")
ydlo ("刀具")
ydmj ("乙种")
ydmo ("𠞠")
ydmw ("导管")
ydmy ("𠚮")
ydnc ("阿拉伯联合酋长国")
ydnf ("导体")
ydnj ("导向")
ydns ("阿拉伯语" "阿拉伯文")
ydnx ("刀片")
ydny ("阿拉伯也门共和国")
ydo ("刅")
ydok ("𤃄" "𠛂")
ydou ("民事行为" "𤎘")
ydpr ("刀锋")
ydps ("导航")
ydqa ("乙肝")
ydqj ("加热器")
ydqu ("加热炉")
ydqv ("力挽狂澜")
ydqw ("乙胺")
ydrj ("𠣫")
ydrr ("𪟕" "𠝕")
ydrz ("鳭" "𠟀")
yds ("刃" "刄")
ydsa ("导言" "丒")
ydsb ("巴拉圭" "𡉔")
ydsf ("𣏉")
ydsg ("𠛇")
ydsi ("歰")
ydsl ("导盲" "𡵑")
ydsn ("阿拉伯")
ydss ("办事效率")
ydsu ("阿拉善" "𤆕")
ydsw ("忍")
ydsy ("乙方" "𪟂")
ydug ("乙类")
yduk ("阿拉善盟")
yduo ("乙烯")
yduu ("𪹹")
yduw ("乙烷")
ydux ("乙炔")
ydvs ("导游")
ydvw ("导演")
ydw ("辺")
ydwf ("防护林" "防护杠")
ydwn ("民事案件")
ydwr ("𠜭")
ydwx ("𠺥")
ydwz ("𢖫")
ydxg ("力挫群雄")
ydxs ("𪠧" "𠬛")
ydya ("刀子")
ydyd ("𠚪")
ydye ("加拉加斯")
ydyh ("𢦝")
ydyk ("𠝽")
ydym ("𥎫")
ydyq ("脋")
ydys ("刀刃" "𤭀")
ydyu ("导弹" "已报关" "𪹪" "𤉎")
ydyy ("刕" "䎄")
ydyz ("綤" "𦀧")
ydzg ("𩅖")
ydzh ("导线")
ydzi ("𢇊")
ydzs ("𠚦")
ydzz ("导出" "民事纠纷")
ye ("及其")
yeae ("异型" "𨼣")
yeag ("𨼿")
yeaj ("𨻇")
yeas ("改革开放")
yeb ("𨼂")
yebl ("𫖕")
yebz ("𨹯")
yec ("𨺌")
yed ("䦹" "𢌗")
yedt ("隔靴搔痒")
yeeb ("巴基斯坦" "巴勒斯坦" "巴勒斯坦国")
yeel ("隫")
yeez ("𨼞")
yefa ("孤苦零丁")
yefu ("异样")
yeik ("异步")
yejb ("𨻜")
yejd ("阿克拉")
yeje ("阿克苏")
yejf ("𨽣")
yejn ("𨽧")
yejw ("阿克塞")
yejy ("阿克陶")
yeks ("除草剂")
yeku ("隐蔽性")
yekw ("异常")
yekx ("𨺎")
yemr ("异物" "巴斯特尔")
yems ("除莠剂")
yemy ("𨼃")
yenf ("异体" "弹花机")
yenn ("孤苦伶仃")
yeo ("䧆")
yeoc ("𨼲")
yeok ("民营企业")
yeor ("𨺶")
yepf ("异彩")
yepk ("阿斯旺")
yeqq ("𨼡")
yeqw ("飞黄腾达")
yerm ("𨼜")
yeru ("𨽞")
yess ("异议")
yeum ("异性")
yeuo ("阿基米德")
yevo ("降落伞")
yevv ("𢍀")
yew ("迅")
yews ("阿荣旗")
yexd ("阿斯马拉")
yexs ("𨸠")
yeyc ("阿勒泰")
yezf ("𨼙")
yezl ("𨽈")
yezt ("弹药库")
yf ("飞机")
yfaa ("异想天开")
yfab ("加权平均值")
yfb ("陻" "塦" "陠" "𢌩" "𢌠")
yfbk ("䧣")
yfbx ("飞檐走壁")
yfc ("𪫇")
yfdb ("建材城")
yfds ("䧠")
yffa ("飞机模型")
yfg ("孺")
yfgl ("隭")
yfgn ("粥样硬化")
yfhn ("随机软件")
yfj ("廼" "䧈")
yfjk ("陕西省" "弹板跳水")
yfk ("陳" "陣")
yfka ("𨽮")
yfki ("螴")
yfkm ("敶")
yfkr ("𨼤")
yfkz ("𨽅")
yfma ("巴西利亚")
yfmb ("𨽕")
yfnb ("𨻰")
yfnz ("阴极射线")
yfof ("孤零零")
yfom ("巴松管")
yfoo ("䧒" "𨽲")
yfqm ("乙醛脱氢酶")
yfrn ("异构体")
yfrw ("巴格达")
yfvk ("降雨量")
yfwz ("䧥")
yfxi ("𨼪")
yfxk ("降雪量")
yfxy ("阿根廷")
yg ("强大")
yga ("𨸹")
ygaj ("陭")
ygas ("巴布亚新几内亚")
ygb ("隋" "墮" "𨻐" "𡏇")
ygbb ("𨼰")
ygbg ("𧱞")
ygbl ("𩩜" "𡽃")
ygbn ("𩁌" "𨿭")
ygbq ("隋" "𨽋")
ygbr ("𩼏" "𩷷")
ygbs ("𧨧")
ygbw ("𢢠")
ygbz ("陓" "𨺈")
ygch ("𨻝")
ygcm ("民不聊生")
ygd ("𫕹")
ygdr ("阿布扎比")
ygee ("那不勒斯")
ygef ("𨽬")
ygel ("陇南")
ygev ("堕落")
ygff ("𨽬")
ygfj ("陇西")
ygfq ("弱不禁风")
yggb ("隓")
yggd ("陾")
yggl ("𨼏")
yggr ("𨺖")
yggs ("𨽀")
yggz ("引而不发")
ygh ("陙")
ygi ("阫")
ygib ("了不起")
ygih ("办不到")
ygin ("忍不住")
ygio ("巴不得")
ygiw ("也不过")
ygj ("𨹭")
ygjx ("附面层")
ygk ("𨹞")
ygkk ("𫖔")
ygkm ("障碍物")
ygkz ("𨻚" "𨺍")
ygl ("陑")
yglf ("阿布贾")
yglz ("陇县")
ygm ("陇")
ygnd ("陇川")
ygnk ("𨻣")
ygo ("陜")
ygob ("𨻊" "𡎶")
ygoo ("陝" "陜" "𫖐")
ygou ("隳")
ygoz ("𨻤" "𡟨")
ygq ("陏")
ygqb ("堕" "墮")
ygqf ("㯐")
ygql ("嶞" "𡺆")
ygqn ("𩀶")
ygqr ("𪅿")
ygqs ("䜐")
ygqw ("随" "隨" "𢡢")
ygqy ("强有力" "防不胜防")
ygqz ("堕胎" "𡡙")
ygr ("阢")
ygrj ("阿尤恩")
ygrm ("忍辱负重")
yguo ("𨻢")
ygus ("导磁率")
yguy ("𨺕")
ygx ("阪")
ygyb ("𫖆")
ygyy ("阨")
ygyz ("䧅")
ygzs ("䧀")
yh ("民")
yhai ("民政")
yhaj ("民歌")
yhar ("陈列")
yhau ("𨻒")
yhaz ("隇")
yhbi ("民工" "陘" "𪫄")
yhbo ("陈规")
yhbv ("阵地")
yhci ("民丰")
yhd ("民")
yhdj ("民事")
yhdq ("阵势")
yhds ("建成投产")
yhe ("阵")
yhee ("民革")
yher ("民警")
yhew ("民营" "阵营")
yhfv ("阵雨")
yhfx ("民权")
yhhm ("䧖")
yhii ("𨽳")
yhik ("陈旧")
yhj ("𨸭")
yhja ("䧕")
yhjj ("民品" "䧢")
yhjl ("𨽨")
yhju ("𨻯" "𨻭")
yhk ("陈")
yhka ("改邪归正")
yhkc ("𨻃")
yhko ("陈")
yhkq ("民盟")
yhkw ("㥸")
yhkz ("隁")
yhlo ("𨹟")
yhlv ("民用")
yhm ("愍")
yhmj ("民和")
yhmp ("张牙舞爪")
yhmw ("愍")
yhmz ("民委")
yhno ("民俗")
yhnr ("陈货")
yhoo ("民众" "陿")
yhos ("𨸟")
yhpo ("民兵")
yhps ("民航")
yhqb ("阵脚")
yhra ("𨽨")
yhrk ("民乐" "𨼐")
yhs ("𨹒")
yhsc ("民主")
yhsh ("阵亡")
yhsk ("民意")
yhsm ("民族")
yhsq ("陈设")
yhss ("驾轻就熟")
yhtk ("民间")
yhtn ("陈腐")
yhue ("民愤")
yhvb ("民法")
yhvu ("已成为")
yhwb ("民进")
yhwf ("陈述")
yhwo ("阵容")
yhws ("民房" "陈迹")
yhwz ("民心")
yhxs ("𨸽")
yhy ("𨹚")
yhyh ("阵阵")
yhyo ("民办")
yhyr ("弦切角")
yhys ("阴盛阳衰")
yhyx ("民建")
yhzh ("阵线")
yi ("也")
yia ("巴")
yiab ("𢁊" "𡉷" "𠄧")
yiac ("𠀧")
yiai ("卍" "𪪀" "𧥔" "𧎱")
yiaj ("也可" "𨽚")
yiak ("𪾎" "𠛋")
yial ("岊" "𪪆" "𢁑")
yiam ("𧤭" "𣬷" "𣀟" "𢽼")
yiao ("𪪁")
yiar ("巼" "𪪂" "𣎞" "𢁋")
yiau ("𥸿" "𢁍")
yiax ("𢻷")
yiaz ("𠙿")
yibt ("巴塘")
yiby ("引起")
yibz ("也去")
yicq ("巴青")
yier ("引擎")
yiff ("巴林" "巴楚")
yifj ("巴西")
yigi ("也不")
yigq ("也有" "𨼫")
yih ("䖎")
yihk ("巴东")
yii ("阯" "㢟")
yiii ("𨺗")
yiix ("𢻫")
yij ("阽")
yijl ("𨽚")
yijn ("𨽧")
yijv ("巴中")
yijy ("陆战队")
yijz ("也叫")
yik ("陟" "𢌧")
yikc ("騭" "𨽥")
yike ("𨺑")
yikg ("𨽗")
yiki ("引申")
yikl ("𨽜")
yikn ("陀螺仪")
yiko ("陟")
yiku ("𨼋")
yikv ("也是" "引水")
yikw ("巴掌")
yikx ("骘" "𨺏")
yil ("𢌨")
yilo ("𨺟")
yilr ("引见" "𧠉")
yilv ("引用")
yilz ("巴县")
yima ("孤雌生殖")
yimj ("引种")
yimo ("𢻱")
yimr ("巴黎")
yimu ("𨻲")
yinj ("引向")
yiny ("也仍")
yiob ("也会")
yiod ("引入" "引人")
yion ("引介")
yiow ("引领")
yirr ("𨹀")
yisa ("引言" "引证")
yisj ("也就")
yism ("也许" "引诱" "巴彦")
yisq ("巴望")
yith ("巴库")
yitl ("也门")
yitr ("引资")
yiuh ("隵")
yiuk ("引爆")
yiul ("也曾")
yivt ("引渡")
yivv ("𨹁" "𧈰")
yiw ("迆")
yiwb ("引进")
yiwr ("除此之外")
yiwx ("引退")
yixo ("陈旧观念")
yiya ("引子")
yiyd ("引导")
yiym ("引力")
yiyy ("𦐁")
yizb ("巴结")
yizh ("引线")
yizq ("也能")
yizv ("引发")
yizy ("也好" "乸")
yizz ("引出")
yj ("加")
yjab ("防患于未然")
yjae ("召开")
yjah ("邵武")
yjal ("隤")
yjar ("强烈")
yjau ("𤊅")
yjbg ("强项")
yjbi ("加工")
yjbm ("强攻")
yjbr ("防患未然")
yjbz ("𨺨")
yjc ("駕")
yjcu ("加班")
yjdp ("加折")
yjdq ("强势" "加热" "架势")
yjds ("架接")
yjdv ("强求")
yjeh ("加载")
yjes ("加薪")
yjev ("陨落")
yjew ("加蓬")
yjf ("架" "𨹦")
yjfr ("架构")
yjfs ("驾校")
yjfx ("强权" "加权")
yjfz ("强酸")
yjga ("强硬" "陨石")
yjgb ("加压" "强压")
yjgd ("强大" "加大")
yjgh ("强碱" "𨻟")
yjgk ("加厚")
yjhb ("架式")
yjhe ("驾车")
yjhk ("邵东")
yjhy ("强盛")
yji ("强" "䦿")
yjia ("贺卡")
yjij ("强占")
yjiv ("加上")
yjj ("彈" "廻")
yjja ("廻" "加号")
yjjc ("强国")
yjje ("加固")
yjjr ("召唤")
yjkd ("廽" "𨹰")
yjke ("强暴" "𨼒")
yjkm ("陨星")
yjkq ("加盟")
yjkx ("加紧")
yjky ("驾照")
yjkz ("贺电" "强电")
yjl ("贺" "賀")
yjlo ("陨" "隕")
yjlr ("召见")
yjlz ("贺县")
yjm ("犟")
yjmb ("𢌥")
yjmd ("强手")
yjmk ("加重")
yjml ("强制")
yjmm ("贺年")
yjms ("贺辞")
yjmx ("加氢")
yjnf ("召集")
yjnj ("𨹬")
yjno ("加价")
yjnr ("强化")
yjns ("加倍" "贺信")
yjob ("亟待")
yjod ("加入")
yjoi ("强行")
yjor ("加仑")
yjox ("巴哈马")
yjq ("䧎")
yjqo ("强风")
yjr ("鴐")
yjrn ("阿图什")
yjrx ("加急")
yjs ("袈")
yjsl ("强调")
yjsq ("架设")
yjsy ("贺词")
yjtb ("强壮" "驾凌")
yjth ("加减")
yjtr ("强盗")
yjtv ("强度")
yjub ("贺兰")
yjuo ("𤆨")
yjut ("加料")
yjux ("加快")
yjuz ("加数")
yjvb ("加法")
yjvk ("加油" "袈裟")
yjvl ("孙中山")
yjvs ("加注")
yjvv ("叾")
yjvw ("加深")
yjw ("迦")
yjwa ("加之")
yjwb ("架空")
yjwe ("加宽")
yjwf ("加速")
yjwn ("强迫")
yjww ("加密")
yjwz ("贺礼")
yjx ("驾")
yjxa ("亟")
yjxb ("强劲" "加层")
yjxe ("加剧")
yjxj ("驾驶")
yjxu ("焏")
yjxw ("𢚣")
yjxx ("驾驭")
yjxz ("凾")
yjy ("邵")
yjya ("架子")
yjyi ("𨹝")
yjyj ("加强" "强强" "强加")
yjyk ("邵阳")
yjym ("加力")
yjyt ("强弱")
yjza ("强奸")
yjzl ("加纳")
yjzm ("张口结舌")
yjzo ("加以")
yk ("阳")
yka ("陽" "卺")
ykai ("隄" "𫕾" "𢌪")
ykak ("𨻥")
ykan ("习题集")
ykb ("陧" "䧉" "𨻼")
ykbh ("阳城")
ykbs ("弗里敦")
ykc ("陫")
ykcl ("防非典")
ykcx ("𨼥")
ykdf ("及时雨")
ykdn ("那时候")
ykf ("𨺁")
ykfj ("阳西")
ykfy ("阳极")
ykgn ("阳原")
ykgr ("𨹂")
ykgu ("弧光灯")
ykgy ("阳历")
ykh ("隈")
yki ("䧃" "𪫃")
ykia ("廸" "𫕻")
ykib ("𨸺")
ykic ("𨸬")
ykik ("阳虚")
ykjb ("隚")
ykjk ("𨼴")
ykju ("𨼷")
ykk ("隙")
ykkg ("阳光" "𨻙")
ykkk ("隙" "阳曲" "𨼗" "𨻶")
ykkq ("加里曼丹")
ykks ("阿昌族")
ykkz ("阳光明媚" "阳电")
ykl ("隅")
yklb ("异曲同工")
ykld ("𨺷")
ykll ("阳山")
yklo ("𨻈")
yklz ("隅" "隰县")
ykmc ("隲")
ykme ("𨺒")
ykmy ("𨺸")
yknk ("阳泉")
ykns ("阳信")
ykny ("氹仔")
yko ("孙")
ykoj ("𨻞")
ykok ("刀光剑影")
ykon ("𨺬")
ykoo ("阳谷")
ykq ("陗")
ykrb ("𪤣")
ykro ("陽")
ykrr ("𨹎")
ykry ("𫖇")
yksf ("阳新")
yksg ("阴暗面")
yksj ("阳高")
yku ("䧨")
ykuc ("䧤")
ykum ("阳性")
ykuz ("阳朔")
ykv ("隄" "阥")
ykvb ("阳江")
ykvk ("降水量")
ykvv ("阳" "𣅄")
ykvx ("隔水层")
ykw ("逊")
ykwa ("𨺐")
ykwn ("卫星通信")
ykws ("除暴安良")
ykwz ("𪬔" "𨼚" "𨻂" "𨺯")
ykxj ("孤掌难鸣")
ykya ("孙子")
ykyb ("随时随地")
ykyj ("驾照号")
ykyv ("防暑降温")
ykz ("隰" "𨻽")
ykzj ("阳台")
ykzm ("孙女" "𨻻")
ykzu ("隰")
yl ("费用")
ylaj ("限幅器")
ylax ("子目录")
ylb ("𨸱")
ylbd ("𨸨")
ylbj ("䧓")
ylbm ("𨽉")
ylbu ("𨼸")
ylbz ("阻击")
ylc ("阻")
yld ("㢠" "𨹽" "𢌡" "𢌞")
yldh ("阻挠")
yldj ("陪同团")
yldk ("阻挡")
ylds ("阻抗")
yldu ("阻拦")
ylen ("阻截")
yleo ("𨹻")
ylfd ("孟村")
ylgd ("𨺆")
ylgk ("阻碍")
ylii ("阻止")
ylju ("隑")
ylk ("孟")
yll ("𢌚" "𡴺")
ylld ("𨻠")
yllz ("孟县")
ylne ("阻值")
ylni ("𨻵")
ylo ("𫖃")
yloo ("𨹌")
ylor ("𨽰" "𨻎")
ylou ("䧙")
ylp ("𨼅")
ylpw ("民用航空")
ylqe ("勐腊")
ylqq ("𨻱")
ylr ("䧋")
ylrr ("𨻎" "𨹨")
ylsj ("民用产品")
ylur ("阻燃")
yluv ("刀山火海")
ylvm ("勐海")
ylvx ("孟津")
ylwe ("阻塞")
ylwh ("孟连")
ylxr ("阻尼")
ylxt ("孟买")
ylxu ("隔岸观火")
yly ("勐")
ylyf ("民用飞机")
ylym ("阻力" "民用建筑")
ylyo ("弱肉强食")
ym ("力")
ymab ("忍气吞声")
ymaf ("㭆")
ymai ("改正")
ymaj ("哿")
ymal ("嗧" "𨸴")
yman ("加氢裂化")
ymax ("𩜒")
ymay ("𠂏")
ymaz ("𠡐")
ymb ("廷" "𨸡" "𡉂")
ymbb ("建筑工地")
ymbg ("颋" "頲")
ymbj ("延吉")
ymbk ("建筑业" "建筑工业")
ymbl ("陈年老账")
ymbm ("建筑工程" "建筑物" "𢌦")
ymbv ("建筑学")
ymby ("力场")
ymbz ("改动" "盈亏")
ymce ("𦔰")
ymcg ("卫生厅")
ymch ("延长")
ymco ("羽毛球舘")
ymcs ("卫生部")
ymcx ("卫生局")
ymcy ("卫生院")
ymcz ("卫生纸")
ymd ("𢌜")
ymdi ("改掉")
ymdo ("强制执行")
ymdr ("改换")
ymdv ("力求")
yme ("阡" "阩" "𢌙")
ymeb ("陞" "陲")
ymec ("及其")
ymee ("改革")
ymej ("力克" "呄")
ymek ("陹")
ymem ("弹簧秤" "𨹱")
ymep ("弹簧钢")
ymeq ("延期")
ymet ("弹簧门")
ymeu ("𨼊")
ymez ("子午线" "𨺪")
ymf ("朶")
ymfa ("建筑模型")
ymfe ("孕穗期")
ymfg ("𩒜")
ymfh ("盈利模式")
ymfi ("𠡙")
ymfk ("刴")
ymfr ("及格")
ymfu ("建筑材料" "建筑材料工业局")
ymgb ("𠡃")
ymgl ("廷布")
ymgm ("建筑面积")
ymh ("戤")
ymhb ("乃至" "及至")
ymhc ("羽毛球")
ymhq ("飞毛腿")
ymhv ("改成")
ymi ("延" "𨹤" "𧈦")
ymib ("𠡘")
ymid ("阼")
ymii ("延" "蜑" "䗺")
ymij ("力点")
ymil ("𨺲")
ymix ("𢽄")
ymiy ("郔")
ymj ("加" "䧊")
ymja ("改口" "𪟙")
ymjb ("𧻅")
ymjc ("駕")
ymjf ("架")
ymjg ("䂟" "㚙")
ymji ("𪗬" "𧉪")
ymjj ("㔔")
ymjk ("𨼓")
ymjl ("贺" "賀" "𠢋")
ymjm ("毠" "㧝" "𤙄")
ymjp ("𦨦")
ymjq ("𦙺")
ymjr ("力图" "鴐" "㖙" "𫜪")
ymjs ("𧦲")
ymju ("已知数" "𥹌" "𤇞")
ymjw ("迦" "㤎")
ymjx ("驾" "㔖")
ymjy ("乫" "㠰" "𨚧")
ymjz ("妿" "𥿃")
ymk ("尕" "𪜍")
ymka ("力量" "𣇇")
ymkb ("隀")
ymkd ("及时" "延时")
ymke ("及早")
ymki ("𤰛")
ymko ("尕" "陎" "𡭘")
ymkr ("䧗")
ymkv ("乃是" "飞利浦")
ymkw ("勰")
yml ("鼐")
ymld ("𨸴")
ymlh ("戤")
ymlk ("盁" "𠟒")
ymln ("𨾫")
ymlo ("𧴥")
ymlq ("降血脂")
ymlr ("𣤥")
ymlu ("强制性")
ymlv ("改用" "延用")
ymly ("𨜏")
ymmh ("力矩")
ymmj ("𨼵")
ymmk ("盈利")
ymml ("改制")
ymms ("改稿")
ymmy ("力气")
ymnd ("延川")
ymnk ("延伸" "力偶")
ymnn ("卫生保健")
ymnp ("改版")
ymo ("办" "改" "𨸩")
ymob ("𨼦")
ymoe ("𨻾")
ymof ("𣏻")
ymoi ("改行")
ymom ("盈余")
ymoo ("𨼹" "𦙲")
ymoz ("𨺭")
ympd ("𨹲" "𣂒" "𢒁" "𢒀")
ympe ("改错")
ympo ("民生银行" "𠡥")
ympx ("𤔷")
ymqn ("𨾫")
ymqr ("𣣲")
ymrn ("卫生条件")
ymrr ("㚉")
ymrs ("𡕔")
ymrx ("力争")
ymry ("𡥗")
yms ("及")
ymsb ("建筑施工")
ymsi ("𠂪")
ymsj ("延误")
